keyword,similar_word,score
ghost,spirit,0.7506238222122192
ghost,faceless,0.6571555733680725
ghost,affectionately,0.6385065913200378
ghost,dubbed,0.6251653432846069
ghost,specter,0.6226068139076233
ghost,namesake,0.6052536964416504
ghost,wrestler,0.6036593317985535
ghost,niece,0.6001271605491638
ghost,residing,0.5924394130706787
ghost,stagehand,0.5885432362556458
ghost,nightclub,0.5882682204246521
ghost,skinny,0.5861721038818359
ghost,deceased,0.5740534067153931
ghost,benefactor,0.5715651512145996
ghost,logger,0.5712717175483704
spirit,ghost,0.7506237030029297
spirit,entity,0.6728963851928711
spirit,playful,0.638231098651886
spirit,restless,0.6072067022323608
spirit,deceased,0.5764747262001038
spirit,faceless,0.5751391649246216
spirit,heavyset,0.5668985843658447
spirit,benevolent,0.5668941140174866
spirit,goddess,0.564781129360199
spirit,mischievous,0.5605685114860535
spirit,depicted,0.5592386722564697
spirit,presence,0.5584667325019836
spirit,reside,0.5560937523841858
spirit,tormented,0.5543147325515747
spirit,nameless,0.552812397480011
apparition,image,0.6649529337882996
apparition,figure,0.6631384491920471
apparition,robed,0.6419941782951355
apparition,ghostly,0.6360540390014648
apparition,resembling,0.6248548626899719
apparition,unidentified,0.6243530511856079
apparition,blob,0.6196604371070862
apparition,outline,0.6158446669578552
apparition,shadow,0.6109810471534729
apparition,transparent,0.5971933603286743
apparition,rowboat,0.5966196060180664
apparition,creeping,0.5945949554443359
apparition,scurrying,0.593564510345459
apparition,silhouette,0.59235680103302
apparition,grayish,0.5897811055183411
shadow,figure,0.7330257296562195
shadow,misty,0.6698532104492188
shadow,creeping,0.664758563041687
shadow,silhouette,0.6639652848243713
shadow,blob,0.6533653736114502
shadow,grayish,0.6523366570472717
shadow,shadowy,0.6377706527709961
shadow,peripheral,0.6346461176872253
shadow,fleeting,0.6334506273269653
shadow,resembling,0.6324048042297363
shadow,hazy,0.6259187459945679
shadow,dimly,0.6259130835533142
shadow,haze,0.6218066215515137
shadow,blur,0.6217772960662842
shadow,vision,0.6197224259376526
phantom,spectral,0.6747799515724182
phantom,specter,0.6023429036140442
phantom,translucent,0.5878486037254333
phantom,troll,0.5834342837333679
phantom,galloping,0.581755518913269
phantom,rider,0.5791642665863037
phantom,imp,0.5777141451835632
phantom,fireball,0.5768007636070251
phantom,hound,0.5717766880989075
phantom,drifting,0.5547952055931091
phantom,trotting,0.5534379482269287
phantom,barreling,0.5509927272796631
phantom,hover,0.5503204464912415
phantom,legged,0.5457579493522644
phantom,walker,0.54301917552948
poltergeist,mild,0.7588582634925842
poltergeist,mischief,0.6683685183525085
poltergeist,supernatural,0.6582773327827454
poltergeist,activity,0.6506829261779785
poltergeist,bizarre,0.6472643613815308
poltergeist,tested,0.6240367889404297
poltergeist,notably,0.6125144362449646
poltergeist,unnatural,0.6081292629241943
poltergeist,ect,0.6062394380569458
poltergeist,repaired,0.6057943105697632
poltergeist,occasional,0.6050504446029663
poltergeist,attribute,0.6034437417984009
poltergeist,classic,0.6033076047897339
poltergeist,hotspot,0.59879469871521
poltergeist,filmed,0.5984417796134949
demon,capture,0.6286672353744507
demon,bull,0.5961905121803284
demon,vampire,0.5900982022285461
demon,jewelry,0.5872828960418701
demon,attracted,0.5721319317817688
demon,lion,0.5719124674797058
demon,lately,0.5716969966888428
demon,abducted,0.5684099197387695
demon,vortex,0.5639333128929138
demon,torso,0.5633457899093628
demon,ectoplasm,0.5576115250587463
demon,desire,0.5565629601478577
demon,werewolf,0.5561784505844116
demon,ecto,0.5561164021492004
demon,possessed,0.5554785132408142
specter,stagehand,0.6579753160476685
specter,rowboat,0.6372326612472534
specter,ghost,0.6226068139076233
specter,logger,0.6207759380340576
specter,phantom,0.6023428440093994
specter,aimlessly,0.6018756031990051
specter,hiker,0.5944430232048035
specter,headless,0.5856044292449951
specter,translucent,0.5837822556495667
specter,spectral,0.5735765099525452
specter,dubbed,0.5724101066589355
specter,horseman,0.5714759230613708
specter,glide,0.5653997659683228
specter,resembling,0.5649234652519226
specter,blob,0.5555052161216736
orb,ectoplasm,0.7513251900672913
orb,mist,0.6906165480613708
orb,digital,0.6858673691749573
orb,vortex,0.6666325330734253
orb,swirling,0.6568292379379272
orb,haze,0.6477987170219421
orb,ecto,0.642170786857605
orb,greenish,0.6241564154624939
orb,pic,0.6189677119255066
orb,anomaly,0.6179279088973999
orb,glowing,0.6095551252365112
orb,streak,0.6094059348106384
orb,photo,0.608285665512085
orb,cloud,0.6081600189208984
orb,picture,0.605597972869873
figure,shadowy,0.7464541792869568
figure,shadow,0.7330256700515747
figure,image,0.7162965536117554
figure,blob,0.7053012251853943
figure,silhouette,0.703947126865387
figure,misty,0.6849403977394104
figure,hazy,0.6802494525909424
figure,grayish,0.6738747358322144
figure,apparition,0.6631385684013367
figure,whitish,0.660252571105957
figure,translucent,0.6599175333976746
figure,dart,0.6598003506660461
figure,hooded,0.6476752161979675
figure,robed,0.6447997093200684
figure,grey,0.6420077085494995
entity,spirit,0.6728964447975159
entity,malevolent,0.6277557611465454
entity,mischievous,0.5902317762374878
entity,interact,0.5838656425476074
entity,depicted,0.5700569748878479
entity,playful,0.5633666515350342
entity,heavyset,0.5583396553993225
