keyword,similar_word,score
warlock,gnarled,0.7847672700881958
warlock,joined,0.7621188163757324
warlock,thorn,0.7605424523353577
warlock,engraved,0.7499409317970276
warlock,gravity,0.7497716546058655
warlock,tannery,0.7477142214775085
warlock,thirteen,0.747037410736084
warlock,willow,0.746359646320343
warlock,overgrowth,0.7431188821792603
warlock,stature,0.740338921546936
warlock,flowertop,0.7367805242538452
warlock,crouch,0.7339702844619751
warlock,assailant,0.7316474318504333
warlock,worshipper,0.7297598123550415
warlock,uncovered,0.7240887880325317
werewolf,extensively,0.7512332797050476
werewolf,desecrated,0.739513099193573
werewolf,conflict,0.732647716999054
werewolf,maintain,0.7192934155464172
werewolf,casualty,0.7031140327453613
werewolf,population,0.7013300657272339
werewolf,diary,0.6968313455581665
werewolf,warlock,0.6959556937217712
werewolf,lately,0.6958757638931274
werewolf,occupation,0.6933151483535767
werewolf,posed,0.6921069622039795
werewolf,damn,0.6902748942375183
werewolf,joined,0.6894854307174683
werewolf,personality,0.6891868114471436
werewolf,abducted,0.687358021736145
troll,virgin,0.8036861419677734
troll,levitating,0.7944329380989075
troll,lately,0.7842084169387817
troll,seeming,0.7820190191268921
troll,sheer,0.773783802986145
troll,smoky,0.7732770442962646
troll,robed,0.7718252539634705
troll,unintelligible,0.7695913910865784
troll,inexplicable,0.768764317035675
troll,lapse,0.7679266333580017
troll,hellhound,0.7624505162239075
troll,wildly,0.7622082829475403
troll,haze,0.760954737663269
troll,crucifix,0.7574098110198975
troll,bothered,0.7568190097808838
imp,unmistakable,0.8009226322174072
imp,framed,0.782795250415802
imp,sprinting,0.7662933468818665
imp,foliage,0.7601109743118286
imp,cab,0.7568244338035583
imp,troll,0.7522274851799011
imp,gap,0.7517898082733154
imp,cam,0.7483943104743958
imp,healing,0.7412409782409668
imp,inscribed,0.7394020557403564
imp,bothered,0.7359061241149902
imp,labyrinth,0.7338777184486389
imp,lately,0.7295650243759155
imp,measured,0.7272270917892456
imp,entryway,0.7266549468040466
